Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_1 ForgotPass,Chrome 70.0.3538.110,,2018-12-08 16:14:17,2018-12-08 16:15:07,50.358s,PASSED
,,,,,,
Test Cases/TC_03 Forgot Password,Chrome 70.0.3538.110,,2018-12-08 16:14:18,2018-12-08 16:15:07,48.973s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 16:14:19,2018-12-08 16:14:35,16.694s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 16:14:35,2018-12-08 16:14:50,14.472s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 16:14:50,2018-12-08 16:14:54,3.783s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 16:14:54,2018-12-08 16:14:55,1.263s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 16:14:55,2018-12-08 16:14:58,3.307s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-12-08 16:14:58,2018-12-08 16:14:59,1.058s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 16:14:59,2018-12-08 16:15:01,1.570s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 16:15:01,2018-12-08 16:15:02,1.279s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 16:15:02,2018-12-08 16:15:03,0.704s,PASSED
Statement - java.lang.Thread.sleep(1000),Chrome 70.0.3538.110,,2018-12-08 16:15:03,2018-12-08 16:15:04,1.011s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-08 16:15:04,2018-12-08 16:15:06,2.657s,PASSED
